athlete_id,age,weight,resting_hr,avg_hr,max_hr,hrv,vo2max,speed_avg,distance_km,duration_min,training_load,sleep_hours,fatigue_score,performance_score,injury_risk
73,24,52.3,56.0,149.1,169.4,58.7,51.1,12.62,9.1,43.2,64.5,6.7,0.7,64.4,0
39,28,82.3,63.0,138.8,152.1,94.1,59.5,12.94,6.48,30.0,41.7,6.4,0.0,69.7,0
18,37,58.6,79.0,156.3,179.0,52.2,50.5,12.88,7.43,34.6,54.1,7.8,0.0,65.9,0
4,33,67.9,54.0,167.5,190.7,54.2,45.4,11.64,8.48,43.7,73.2,7.3,0.4,60.7,0
89,21,66.6,57.0,149.7,173.1,67.3,39.4,8.09,7.98,59.2,88.6,6.5,0.6,50.8,1
60,23,74.7,59.0,169.2,193.9,86.2,42.6,10.16,10.21,60.2,101.9,7.7,0.0,57.4,1
14,39,57.2,63.0,166.2,189.3,56.6,50.7,14.84,9.46,38.3,63.6,6.7,0.8,68.4,0
9,20,73.7,62.0,133.9,151.8,62.3,54.4,12.37,3.48,16.9,22.6,6.7,0.3,65.9,0
90,26,86.2,70.0,139.9,159.5,75.8,49.6,11.35,3.93,20.7,29.0,7.0,0.0,62.5,0
53,27,59.1,41.0,164.4,184.8,64.8,52.8,14.24,6.89,29.0,47.7,7.5,0.0,69.6,0
2,31,71.5,41.0,109.3,129.8,61.7,52.2,9.74,13.49,83.1,90.8,7.4,0.0,60.4,1
84,28,64.7,56.0,147.8,172.7,70.7,51.0,11.55,5.45,28.3,41.8,6.6,0.0,63.4,0
92,35,73.4,69.0,128.5,151.8,67.7,44.0,12.28,7.38,36.0,46.3,7.8,0.0,62.2,0
60,39,70.2,47.0,142.9,173.2,75.3,49.0,11.12,6.39,34.5,49.3,6.8,0.0,61.9,0
71,29,64.9,36.0,145.5,176.6,77.9,42.9,12.2,6.34,31.2,45.4,6.3,0.0,61.6,0
44,29,73.9,65.0,144.6,165.0,68.1,48.1,11.62,8.53,44.1,63.7,5.5,1.4,59.7,0
8,30,84.4,62.0,141.7,142.5,67.9,50.0,9.2,12.2,79.6,112.8,8.0,0.0,58.4,1
47,30,68.5,51.0,133.5,159.7,67.1,58.1,12.36,9.37,45.5,60.7,7.0,0.0,68.0,0
35,36,75.8,52.0,184.4,201.7,69.9,40.1,9.34,5.59,35.9,66.2,7.2,0.0,54.7,0
78,36,59.7,52.0,178.0,194.0,65.6,50.9,12.33,16.26,79.1,140.8,8.0,0.0,65.0,1
81,31,62.3,61.0,132.6,150.6,65.0,56.9,14.75,8.24,33.5,44.4,6.5,0.4,71.4,0
36,21,73.8,55.0,173.7,191.5,77.0,52.6,11.44,6.27,32.9,57.1,5.6,0.8,62.3,0
50,30,81.9,64.0,144.0,167.1,80.2,53.0,9.66,12.24,76.0,109.5,7.1,0.0,60.5,1
4,25,72.8,37.0,151.9,164.1,49.9,51.5,11.75,6.59,33.7,51.2,7.3,0.5,63.2,0
2,38,67.5,53.0,149.1,163.7,65.1,55.8,10.34,12.99,75.4,112.4,6.7,0.6,61.8,1
6,36,70.0,51.0,140.1,161.8,58.1,41.5,13.19,5.39,24.5,34.3,8.5,0.0,63.0,0
54,29,60.0,58.0,164.8,187.9,61.9,39.7,11.7,12.29,63.0,103.8,4.5,2.9,53.5,1
4,35,74.8,56.0,151.9,175.1,69.0,48.0,15.42,8.6,33.5,50.8,8.1,0.0,70.0,0
54,23,77.1,66.0,142.9,158.9,71.7,35.0,14.33,11.87,49.7,71.0,7.8,0.0,62.7,0
93,35,66.4,45.0,130.4,145.5,63.9,55.4,11.69,13.71,70.3,91.7,7.5,0.0,65.5,1
63,36,66.2,60.0,136.6,154.1,45.9,55.3,13.43,4.6,20.6,28.1,3.7,4.2,60.6,0
18,39,72.1,64.0,125.4,146.6,55.3,45.4,11.21,11.83,63.3,79.3,8.3,0.0,60.6,1
90,22,66.5,75.0,150.2,177.6,74.0,45.8,12.07,3.77,18.8,28.2,6.0,0.5,61.5,0
44,26,69.5,56.0,132.1,141.8,37.6,47.6,11.28,4.86,25.8,34.1,6.5,1.8,58.0,0
34,20,86.8,63.0,146.0,164.9,76.9,48.3,13.53,5.59,24.8,36.2,6.8,0.0,66.4,0
74,27,68.0,46.0,170.6,183.9,70.2,48.8,14.87,9.51,38.4,65.5,7.4,0.0,69.2,0
62,36,67.1,41.0,168.0,179.7,78.2,51.3,13.6,8.1,35.7,60.0,7.6,0.0,67.7,0
100,20,64.8,67.0,149.5,174.4,63.0,47.0,13.84,7.5,32.5,48.6,7.9,0.0,66.5,0
14,39,76.0,60.0,148.7,171.4,44.4,53.7,13.85,8.44,36.6,54.4,7.8,0.2,68.7,0
95,32,68.6,69.0,178.2,200.4,69.3,50.7,13.1,9.77,44.8,79.8,7.3,0.0,66.5,1
48,18,64.8,49.0,157.8,182.4,77.7,44.4,9.72,10.0,61.7,97.4,7.4,0.0,57.2,1
15,24,80.6,64.0,145.1,162.7,74.2,56.0,15.4,11.28,44.0,63.8,5.9,0.7,71.8,0
72,29,81.4,75.0,128.6,146.4,58.4,39.9,15.61,13.46,51.7,66.5,6.2,1.2,64.8,0
78,34,65.2,63.0,155.9,186.8,65.9,47.4,11.53,7.94,41.3,64.4,7.9,0.0,62.0,0
87,38,55.1,62.0,162.4,181.2,59.7,53.8,11.26,6.44,34.3,55.7,7.8,0.0,64.0,0
62,37,78.1,60.0,140.5,164.2,56.8,43.7,13.22,9.84,44.6,62.7,7.7,0.0,63.9,0
40,22,64.5,47.0,154.4,174.4,74.6,49.9,13.1,4.57,20.9,32.3,6.5,0.0,66.1,0
85,21,76.3,71.0,144.5,155.3,53.0,51.3,11.6,5.96,30.9,44.6,7.9,0.0,63.7,0
80,29,54.2,55.0,147.2,157.0,56.1,42.8,9.5,11.0,69.5,102.3,5.8,1.9,52.4,1
82,37,77.1,64.0,112.7,129.8,54.0,47.6,12.61,7.63,36.3,40.9,8.1,0.0,64.2,0
53,35,60.3,47.0,146.7,172.0,50.1,47.1,13.1,4.38,20.0,29.4,6.7,0.9,63.2,0
24,34,75.8,51.0,164.5,188.5,66.5,44.7,13.45,3.53,15.7,25.9,8.7,0.0,64.8,0
26,36,70.1,71.0,140.5,165.1,76.6,61.8,12.7,8.15,38.5,54.1,5.5,1.0,68.2,0
89,26,62.4,57.0,150.8,165.9,63.2,43.4,11.46,11.43,59.8,90.2,8.8,0.0,60.3,1
60,21,66.7,72.0,138.7,166.7,49.9,54.0,13.99,11.39,48.8,67.7,6.6,1.2,67.2,0
41,38,75.5,59.0,155.4,170.6,73.4,45.6,12.13,8.33,41.2,64.0,6.6,0.0,62.5,0
29,19,70.8,45.0,146.8,167.8,81.9,41.5,11.07,14.03,76.0,111.6,7.2,0.0,58.7,1
15,21,74.7,67.0,135.9,155.9,58.5,48.6,11.64,7.69,39.6,53.8,6.3,1.0,60.6,0
45,19,85.8,55.0,170.0,189.1,60.2,51.9,8.51,7.58,53.5,90.9,6.9,0.5,56.7,1
65,32,57.5,66.0,163.9,190.6,70.2,53.5,11.64,0.3,1.5,2.5,6.3,0.2,64.2,0
89,19,82.9,60.0,140.9,157.4,81.2,57.4,13.38,6.66,29.9,42.1,6.3,0.0,69.7,0
71,21,70.8,48.0,157.5,170.7,59.8,65.7,12.68,10.56,50.0,78.7,7.5,0.0,71.6,1
9,23,62.8,61.0,158.1,178.2,51.7,49.5,15.04,12.69,50.6,80.0,6.1,1.7,66.4,1
88,24,59.4,78.0,159.6,177.6,71.3,44.0,11.47,5.51,28.8,46.0,6.2,0.4,59.7,0
1,27,68.5,64.0,124.6,161.5,73.0,50.7,12.97,9.39,43.4,54.1,5.6,1.0,64.2,0
8,36,77.4,60.0,165.1,188.5,65.1,46.4,13.59,11.14,49.2,81.2,6.5,0.7,64.4,1
88,36,69.0,69.0,141.5,159.4,59.4,53.6,16.69,8.03,28.9,40.9,8.3,0.0,74.8,0
63,39,82.1,62.0,144.6,159.4,74.9,40.2,12.29,1.15,5.6,8.1,6.2,0.1,60.4,0
11,29,58.4,62.0,189.6,200.2,70.3,62.2,9.91,8.74,52.9,100.3,6.3,0.7,63.3,1
81,20,69.9,51.0,154.5,169.4,57.3,53.1,13.7,10.28,45.1,69.6,7.2,0.3,68.1,0
8,30,60.0,62.0,144.2,164.8,65.5,37.9,15.73,5.16,19.7,28.4,6.6,0.2,66.1,0
35,35,72.9,68.0,116.9,144.1,51.5,43.7,11.35,7.24,38.2,44.7,9.2,0.0,60.2,0
35,25,77.1,53.0,170.8,196.5,71.9,52.9,13.68,4.53,19.9,34.0,6.8,0.0,68.5,0
33,38,66.6,71.0,129.8,151.0,62.4,55.1,14.46,0.29,1.2,1.6,7.3,0.0,70.9,0
5,32,49.2,59.0,134.9,153.3,60.6,40.4,14.03,11.08,47.4,63.9,7.9,0.0,64.2,0
41,18,71.6,53.0,145.0,166.4,64.7,52.3,12.25,7.99,39.1,56.7,7.9,0.0,65.4,0
28,20,73.5,68.0,171.2,188.7,65.4,36.3,10.6,12.79,72.4,124.0,7.2,0.1,55.5,1
7,25,73.2,58.0,161.6,190.2,73.9,47.5,11.84,10.57,53.6,86.6,6.8,0.0,62.7,1
73,21,79.9,66.0,147.6,166.7,70.9,54.7,12.92,6.94,32.2,47.6,9.0,0.0,67.7,0
72,33,61.4,58.0,154.6,174.2,63.4,44.7,13.82,7.75,33.7,52.0,6.9,0.2,65.1,0
12,27,75.4,60.0,141.0,149.9,72.6,39.0,12.67,9.7,45.9,64.8,6.6,0.1,60.7,0
34,29,79.5,64.0,152.1,171.1,69.0,48.9,11.24,10.9,58.2,88.5,6.4,0.6,60.8,1
33,31,55.8,62.0,151.1,175.3,60.7,44.4,13.11,8.97,41.0,62.0,5.3,2.0,60.0,0
48,31,72.6,44.0,164.5,179.2,63.8,51.8,13.72,11.32,49.5,81.4,7.8,0.0,68.2,1
23,19,66.0,51.0,164.5,180.8,63.5,42.7,12.76,7.11,33.4,55.0,4.7,2.4,57.7,0
62,22,69.3,67.0,157.4,181.4,70.1,43.4,10.33,5.01,29.1,45.8,7.0,0.0,58.0,0
88,22,72.8,59.0,144.6,157.2,61.3,35.9,11.64,7.81,40.2,58.2,6.8,0.4,56.8,0
37,23,66.1,56.0,161.1,186.4,61.1,49.0,13.9,8.62,37.2,59.9,9.2,0.0,67.4,0
99,30,64.6,49.0,148.6,166.0,84.7,47.0,9.23,4.4,28.6,42.4,5.2,0.8,55.7,0
44,26,70.3,51.0,133.8,151.8,74.4,40.9,7.81,3.99,30.6,41.0,6.1,0.4,51.2,0
86,39,61.3,44.0,144.0,158.3,57.4,49.2,15.02,9.34,37.3,53.7,6.9,0.5,68.6,0
91,32,61.3,59.0,151.3,173.2,70.7,54.2,13.02,6.78,31.2,47.3,6.8,0.0,67.7,0
35,31,75.4,55.0,163.7,196.0,66.2,46.7,13.21,7.5,34.1,55.8,6.5,0.5,64.1,0
65,24,60.8,52.0,147.2,171.2,68.9,49.6,9.85,6.92,42.2,62.1,6.9,0.0,59.5,0
99,37,75.3,59.0,131.9,147.5,66.4,49.6,13.48,12.56,55.9,73.8,5.7,1.3,64.2,0
47,19,73.7,63.0,150.9,176.5,76.9,40.8,12.55,11.79,56.3,85.0,7.4,0.0,61.4,1
78,24,56.2,77.0,151.7,170.1,68.5,60.3,8.83,4.29,29.1,44.2,4.7,2.1,57.6,0
3,23,64.6,48.0,152.8,179.7,64.4,45.2,14.85,6.4,25.9,39.5,7.0,0.0,67.8,0
1,34,79.6,69.0,163.8,187.8,75.4,51.9,12.32,10.55,51.4,84.2,6.4,0.3,64.9,1
5,19,62.2,68.0,165.3,170.6,67.3,52.6,11.21,9.81,52.5,86.8,8.0,0.0,63.5,1
90,20,66.3,54.0,141.1,156.1,66.2,47.2,11.24,7.88,42.0,59.3,8.8,0.0,61.4,0
14,22,73.7,62.0,140.8,165.5,68.1,51.6,7.97,4.59,34.5,48.6,6.7,0.2,56.3,0
27,22,76.3,56.0,134.4,155.2,64.1,49.5,13.19,5.95,27.1,36.4,8.4,0.0,66.2,0
9,18,68.0,61.0,160.5,175.4,65.1,39.5,12.52,6.45,30.9,49.6,6.7,0.3,60.2,0
79,25,65.2,72.0,171.7,188.6,59.1,46.0,11.61,8.83,45.6,78.4,6.0,1.4,58.8,1
15,29,81.4,65.0,145.3,155.7,57.5,44.3,14.56,13.11,54.0,78.5,8.7,0.0,66.8,1
90,21,83.9,64.0,146.4,165.9,55.0,45.2,9.23,5.94,38.6,56.5,7.5,0.0,56.5,0
42,30,77.8,57.0,172.0,203.1,51.1,40.2,10.81,4.92,27.3,47.0,7.0,0.7,56.3,0
77,32,70.7,48.0,157.6,181.6,56.2,54.8,10.3,7.67,44.7,70.4,7.7,0.0,62.5,0
51,28,63.5,58.0,156.5,187.5,63.3,57.6,11.44,11.1,58.2,91.1,7.3,0.0,65.9,1
63,27,63.4,70.0,132.1,156.5,66.0,53.9,12.13,3.66,18.1,23.9,6.9,0.0,65.8,0
96,20,74.2,48.0,160.2,185.3,62.3,55.6,12.86,12.36,57.7,92.4,5.7,1.7,64.6,1
52,39,73.3,52.0,136.1,165.9,41.4,45.9,11.31,7.48,39.7,54.0,6.7,1.5,58.0,0
96,31,81.2,61.0,133.0,154.9,80.7,44.2,10.25,5.8,33.9,45.1,7.6,0.0,58.2,0
4,33,75.2,52.0,144.8,163.9,75.9,43.3,15.37,3.2,12.5,18.1,6.9,0.0,68.1,0
94,27,58.0,54.0,141.2,166.4,69.5,51.9,16.82,10.12,36.1,51.0,7.9,0.0,74.4,0
23,27,78.4,57.0,146.7,173.9,84.1,49.4,12.29,7.49,36.6,53.6,7.4,0.0,64.3,0
15,29,62.0,49.0,128.4,146.0,55.2,47.5,10.49,8.51,48.7,62.5,6.1,1.4,57.1,0
43,26,66.9,52.0,164.4,180.8,83.9,55.8,14.95,5.3,21.3,34.9,5.7,0.3,71.6,0
29,18,72.0,66.0,166.9,187.6,55.3,50.4,9.11,7.04,46.4,77.5,6.8,0.8,56.8,0
36,22,86.0,50.0,120.8,144.9,67.4,43.0,11.33,6.54,34.6,41.8,6.5,0.4,59.1,0
13,37,94.9,47.0,164.7,188.7,52.3,43.9,10.61,7.7,43.5,71.7,7.3,0.4,58.0,0
32,25,74.9,55.0,137.8,150.7,65.1,52.1,9.68,5.99,37.1,51.2,6.3,0.7,58.8,0
71,28,68.5,66.0,162.9,192.4,68.9,54.3,11.44,3.4,17.8,29.0,6.4,0.3,63.9,0
59,29,74.3,58.0,149.0,165.8,63.5,51.3,10.27,16.19,94.5,140.8,8.1,0.0,61.1,1
86,18,77.1,56.0,150.4,169.1,72.1,59.4,12.03,3.91,19.5,29.3,7.1,0.0,67.8,0
28,39,67.4,60.0,147.2,162.7,66.0,57.8,12.05,8.54,42.5,62.6,6.3,0.7,65.8,0
66,37,84.4,46.0,168.2,201.7,59.8,50.6,10.76,2.68,15.0,25.2,7.0,0.1,61.5,0
42,28,71.8,64.0,131.4,152.6,59.3,43.0,11.26,2.01,10.7,14.1,8.4,0.0,59.7,0
45,22,74.0,63.0,159.1,174.9,73.1,40.1,11.54,8.29,43.1,68.6,7.3,0.0,59.1,0
62,32,75.3,57.0,166.5,190.8,58.5,45.7,13.62,8.52,37.5,62.5,7.6,0.0,65.5,0
57,22,73.4,68.0,160.7,184.6,74.2,52.5,11.7,11.78,60.4,97.1,6.2,0.5,63.4,1
6,29,76.7,51.0,184.9,203.9,77.2,59.0,13.65,9.2,40.4,74.8,8.0,0.0,70.9,0
28,22,65.1,69.0,142.1,166.3,48.3,50.5,13.17,7.55,34.4,48.9,9.3,0.0,66.5,0
28,34,65.5,61.0,164.4,180.2,76.3,55.0,13.14,5.15,23.5,38.7,6.2,0.2,68.0,0
44,34,61.2,57.0,148.4,165.9,85.6,46.5,14.78,12.5,50.7,75.3,5.8,0.3,67.6,0
84,29,73.5,60.0,168.5,178.5,67.5,51.7,9.76,10.79,66.3,111.7,7.2,0.0,60.2,1
30,32,76.2,59.0,149.9,163.3,71.0,52.9,11.05,4.26,23.1,34.7,7.9,0.0,63.3,0
62,32,73.7,70.0,144.2,173.2,75.4,36.1,15.53,8.11,31.4,45.2,6.9,0.0,65.5,0
75,23,83.4,51.0,169.6,197.8,62.2,45.5,11.49,8.43,44.0,74.7,5.9,1.3,58.5,0
92,29,70.0,54.0,142.6,163.0,66.8,53.7,6.37,6.96,65.6,93.5,6.9,0.2,53.7,1
89,37,75.3,68.0,128.8,157.1,51.9,49.6,11.59,10.32,53.4,68.8,7.6,0.2,62.7,0
62,35,61.3,55.0,142.2,161.4,66.4,40.8,12.27,10.5,51.3,73.0,6.6,0.5,60.0,0
97,31,66.9,67.0,159.3,178.1,70.0,33.4,6.77,7.43,65.9,104.9,7.6,0.0,46.9,1
1,19,75.6,74.0,170.9,191.2,70.2,45.8,14.67,7.16,29.3,50.0,8.2,0.0,67.7,0
27,26,76.8,57.0,151.7,171.0,75.7,47.6,10.57,12.5,70.9,107.6,7.2,0.0,60.2,1
62,22,67.6,65.0,169.8,188.7,57.3,42.7,12.66,10.8,51.2,86.9,7.0,0.6,61.2,1
77,37,69.4,51.0,129.6,155.3,59.7,48.9,11.55,8.22,42.7,55.3,7.8,0.0,62.6,0
3,18,57.9,66.0,143.4,164.1,84.0,51.0,9.42,3.11,19.8,28.4,6.1,0.0,59.3,0
70,20,67.1,62.0,145.7,169.2,63.5,52.0,9.86,9.03,55.0,80.1,6.0,1.2,58.2,1
72,23,77.1,64.0,148.3,173.4,67.0,33.9,10.13,10.09,59.8,88.7,6.7,0.4,53.1,1
27,22,74.6,55.0,151.3,173.2,64.3,40.1,14.17,-0.26,-1.1,-1.7,6.5,0.3,63.9,0
9,38,74.0,47.0,160.4,175.5,56.8,46.2,11.7,8.76,44.9,72.0,6.2,1.3,59.2,0
62,22,70.4,64.0,143.3,156.6,81.2,51.4,10.96,6.75,37.0,53.0,8.8,0.0,62.5,0
37,18,70.1,43.0,152.1,172.8,59.7,50.9,10.13,7.34,43.5,66.1,9.2,0.0,60.6,0
97,34,64.7,57.0,149.3,168.5,53.7,50.8,14.39,5.28,22.0,32.9,6.6,0.8,67.5,0
51,36,75.6,68.0,136.1,156.5,60.5,45.7,14.93,7.56,30.4,41.3,7.1,0.1,68.0,0
44,31,73.4,62.0,148.3,168.2,45.0,46.0,14.37,12.18,50.8,75.4,6.8,1.3,64.5,0
24,29,73.9,76.0,147.8,180.8,58.5,43.6,12.98,6.66,30.8,45.5,8.1,0.0,63.4,0
79,27,65.8,68.0,147.5,160.9,55.3,52.6,12.58,10.9,52.0,76.7,8.3,0.0,66.2,0
59,37,52.8,55.0,150.5,160.5,71.2,42.5,9.57,5.58,35.0,52.7,5.2,1.5,53.2,0
32,38,78.8,60.0,151.1,172.8,58.3,53.1,11.51,10.28,53.6,81.0,7.5,0.0,64.2,1
96,35,66.2,60.0,143.5,161.6,73.9,49.2,10.63,8.0,45.2,64.8,5.7,0.9,59.1,0
88,28,63.1,47.0,169.1,190.7,79.0,47.7,8.35,9.06,65.1,110.0,8.8,0.0,55.8,1
52,19,75.5,52.0,132.5,155.4,72.8,44.1,14.11,8.02,34.1,45.2,7.4,0.0,65.9,0
62,35,66.9,56.0,139.2,165.6,62.8,39.9,10.61,9.92,56.1,78.1,6.2,1.1,55.0,1
58,24,78.5,44.0,191.7,204.2,66.4,44.1,14.39,0.3,1.2,2.4,6.8,0.0,66.4,0
52,32,74.9,60.0,134.4,151.6,49.8,46.0,13.76,3.74,16.3,21.9,6.7,0.9,64.1,0
12,28,75.5,58.0,129.7,151.8,63.7,33.8,13.11,9.25,42.3,54.9,7.5,0.0,59.7,0
39,35,59.1,47.0,161.0,184.9,56.4,46.8,13.23,1.87,8.5,13.7,8.0,0.0,65.2,0
2,29,79.7,63.0,118.8,149.8,71.9,53.5,10.77,6.41,35.7,42.4,5.9,0.8,61.4,0
3,23,72.1,66.0,146.5,171.2,90.7,51.4,15.72,7.84,29.9,43.8,8.8,0.0,72.0,0
56,37,67.0,62.0,182.2,201.9,70.0,45.0,12.09,5.52,27.4,49.9,8.6,0.0,62.2,0
81,30,71.1,57.0,126.8,142.4,45.1,48.3,12.6,5.93,28.2,35.8,6.1,1.8,60.9,0
59,37,55.8,65.0,120.3,137.4,61.4,44.7,10.7,8.81,49.4,59.4,7.1,0.2,59.0,0
2,33,73.3,65.0,127.5,144.5,66.2,48.9,10.14,11.03,65.3,83.2,8.7,0.0,59.8,1
2,35,61.8,62.0,163.5,186.8,65.9,57.2,12.95,5.12,23.7,38.8,8.2,0.0,68.8,0
92,27,59.2,53.0,166.9,188.2,57.7,53.8,12.44,6.27,30.3,50.5,6.7,0.7,65.0,0
54,25,57.8,62.0,142.3,155.7,67.5,51.1,10.42,5.81,33.4,47.6,7.8,0.0,61.3,0
87,35,78.9,70.0,160.2,178.1,52.6,45.0,9.12,0.74,4.8,7.8,10.0,0.0,56.3,0
96,38,65.0,55.0,170.9,195.2,55.6,52.5,9.46,8.43,53.4,91.3,7.1,0.6,58.8,1
97,18,82.3,77.0,176.8,198.6,71.5,37.9,14.39,10.8,45.0,79.6,6.4,0.5,63.0,1
1,25,65.7,56.0,146.3,169.1,54.8,46.5,10.77,11.05,61.5,90.0,7.2,0.5,59.1,1
19,23,56.3,60.0,115.5,137.4,70.4,51.5,11.32,5.39,28.6,33.0,7.2,0.0,63.2,0
2,22,61.1,55.0,137.7,165.8,51.3,52.4,14.9,4.24,17.1,23.5,6.5,1.1,68.6,0
53,32,79.9,62.0,143.6,164.8,82.6,52.0,9.76,8.06,49.6,71.2,7.4,0.0,60.3,0
44,39,68.8,46.0,146.1,164.2,57.3,49.8,10.55,10.49,59.7,87.2,5.7,1.8,57.3,1
90,32,65.6,56.0,147.2,162.6,62.8,46.8,10.46,8.46,48.5,71.4,6.3,0.9,57.9,0
32,19,71.3,51.0,166.8,188.0,68.3,51.2,15.24,8.87,34.9,58.2,7.8,0.0,71.0,0
70,18,74.0,61.0,169.1,176.9,59.3,42.3,15.99,11.43,42.9,72.5,5.2,2.2,64.6,0
